Lep Name,Lep Url
Sophronia sicariella,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Sophronia_sicariellus.jpg/287px-Sophronia_sicariellus.jpg
Stegasta variana,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Stegasta_variana.jpg/229px-Stegasta_variana.jpg
Sterrhostoma heterogastra,None
Symmetrischema capsicivorum,None
Symmetrischema lavernella,None
Symmetrischema striatella,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Symmetrischema_striatella_%2810339077455%29.jpg/161px-Symmetrischema_striatella_%2810339077455%29.jpg
Symmetrischema tangolias,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Symmetrischema_tangolias.jpg/149px-Symmetrischema_tangolias.jpg
Symmoca rosmarinella,None
Syncopacma acanthyllidis,None
Syncopacma captivella,None
Syncopacma metadesma,None
Taygete annulicornis,None
Taygete eromene,None
Taygete parvella,None
Taygete sphecophila,None
Tecia albinervella,None
